"ID","LR","bus","cars","oth","rail","NA","total","year","State","Name","Urbanized.Area","share_light","share_rail","share_bus","share_cars","share_oth"
4026,0,1241.3,1.3,89.8,0,0,1332.4,2004,NA,NA,NA,0,0,0.931627138997298,0.000975682978084659,0.0673971780246172
4027,0,9701.1,0,257.6,0,0,9958.7,2004,NA,NA,NA,0,0,0.974133169992067,0,0.0258668300079328
4028,0,2512.9,25,116.4,0,0,2654.3,2004,NA,NA,NA,0,0,0.94672795087217,0.00941867912443959,0.0438533700033907
4029,0,38256.6,0,2071.4,0,0,40328,2004,NA,NA,NA,0,0,0.948636183296965,0,0.0513638167030351
4030,0,8066.3,0,30.4,0,0,8096.7,2004,NA,NA,NA,0,0,0.996245383921845,0,0.0037546160781553
4031,0,1520.2,0,118.7,0,0,1638.9,2004,NA,NA,NA,0,0,0.927573372383916,0,0.072426627616084
4032,0,2908.1,73,315.6,0,0,3296.7,2004,NA,NA,NA,0,0,0.882124548791215,0.0221433554766888,0.0957320957320957
4034,0,75137.4,0,0,15637.5,7768.5,90774.9,2004,NA,NA,NA,0,0.172266782998384,0.827733217001616,0,0
4035,0,22677.8,185.7,569.4,0,0,23432.9,2004,NA,NA,NA,0,0,0.967776075517755,0.0079247553653197,0.0242991691169253
4036,0,4459.4,0,55.4,0,0,4514.8,2004,NA,NA,NA,0,0,0.987729246035262,0,0.0122707539647382
4037,0,7654.2,0,546.8,0,0,8201,2004,NA,NA,NA,0,0,0.933325204243385,0,0.066674795756615
4038,0,1596,0,59,0,0,1655,2004,NA,NA,NA,0,0,0.964350453172205,0,0.0356495468277946
4040,0,8934.8,0,569.4,0,690.6,9504.2,2004,NA,NA,NA,0,0,0.940089644578187,0,0.0599103554218135
4042,0,4034.6,0,146.8,0,0,4181.4,2004,NA,NA,NA,0,0,0.964892141388052,0,0.0351078586119482
4043,0,860.2,0,99.2,0,0,959.4,2004,NA,NA,NA,0,0,0.896602042943506,0,0.103397957056494
4044,0,577.2,0,65.7,0,0,642.9,2004,NA,NA,NA,0,0,0.897806812879141,0,0.102193187120859
4045,0,127.2,0,16.9,0,0,144.1,2004,NA,NA,NA,0,0,0.882720333102013,0,0.117279666897988
4046,0,1778,0,191.6,0,0,1969.6,2004,NA,NA,NA,0,0,0.90272136474411,0,0.0972786352558895
4047,0,1478.8,0,10.1,0,0,1488.9,2004,NA,NA,NA,0,0,0.993216468533817,0,0.00678353146618309
4051,0,5192.7,0,73.6,0,0,5266.3,2004,NA,NA,NA,0,0,0.98602434346695,0,0.0139756565330498
4053,0,747.5,0,7.3,0,0,754.8,2004,NA,NA,NA,0,0,0.990328563857976,0,0.00967143614202438
4054,0,347.6,0,32.2,0,0,379.8,2004,NA,NA,NA,0,0,0.915218536071617,0,0.0847814639283834
4056,0,34.1,0,515.8,0,0,549.9,2004,NA,NA,NA,0,0,0.0620112747772322,0,0.937988725222768
4057,0,455,0,28.3,0,0,483.3,2004,NA,NA,NA,0,0,0.941444237533623,0,0.058555762466377
4058,0,995.3,0,15.3,0,0,1010.6,2004,NA,NA,NA,0,0,0.984860478923412,0,0.0151395210765882
4063,0,781.6,127,520.1,0,0,1428.7,2004,NA,NA,NA,0,0,0.547070763631273,0.0888919997200252,0.364037236648702
4071,0,272.1,0,139.2,0,0,411.3,2004,NA,NA,NA,0,0,0.661560904449307,0,0.338439095550693
4073,0,42.7,0,44.2,0,0,86.9,2004,NA,NA,NA,0,0,0.491369390103567,0,0.508630609896433
4074,0,550,0,106.6,0,0,656.6,2004,NA,NA,NA,0,0,0.837648492232714,0,0.162351507767286
4077,0,39.9,0,0,2821.3,0,2861.2,2004,NA,NA,NA,0,0.986054802180903,0.0139451978190969,0,0
4078,0,3413.3,0,57.9,0,0,3471.2,2004,NA,NA,NA,0,0,0.983319889375432,0,0.0166801106245679
4080,0,0.3,0,18.2,0,0,18.5,2004,NA,NA,NA,0,0,0.0162162162162162,0,0.983783783783784
4085,0,163.9,0,0,0,0,163.9,2004,NA,NA,NA,0,0,1,0,0
4086,0,30736.8,0,140.1,0,0,30876.9,2004,NA,NA,NA,0,0,0.995462627401067,0,0.00453737259893318
4087,0,3919.9,0,71.3,0,0,3991.2,2004,NA,NA,NA,0,0,0.982135698536781,0,0.0178643014632191
4092,0,583.7,0,36.6,0,0,620.3,2004,NA,NA,NA,0,0,0.940996292116718,0,0.0590037078832823
4093,0,2340.6,0,140.3,0,0,2480.9,2004,NA,NA,NA,0,0,0.943447942279012,0,0.0565520577209884
4094,0,2758.8,0,0,0,0,2758.8,2004,NA,NA,NA,0,0,1,0,0
4097,0,28.1,0,166.3,0,0,194.4,2004,NA,NA,NA,0,0,0.144547325102881,0,0.855452674897119
4100,0,180.4,31.9,158.6,0,0,370.9,2004,NA,NA,NA,0,0,0.486384470207603,0.0860070099757347,0.427608519816662
4101,0,529.8,0,0,0,0,529.8,2004,NA,NA,NA,0,0,1,0,0
