"add","day","month","year","pm25_highway","pm25_city"
"Minneapolis-St. Paul, MN",17,5,2008,7.81744845708211,7.77144151074546
"Minneapolis-St. Paul, MN",17,5,2009,5.36843740730955,5.36812187433243
"Minneapolis-St. Paul, MN",17,5,2010,7.59119283107289,7.54933431829725
"Minneapolis-St. Paul, MN",17,5,2011,5.47503072755379,5.52372100693839
"Minneapolis-St. Paul, MN",17,5,2012,10.9656685360691,10.8081931148257
"Minneapolis-St. Paul, MN",17,5,2013,4.49461820460202,4.14401936786515
"Minneapolis-St. Paul, MN",17,5,2014,8.12247100629305,8.47763050283704
"Minneapolis-St. Paul, MN",17,5,2015,4.09662856344591,4.16995821339744
"Minneapolis-St. Paul, MN",17,5,2016,4.69882486995898,4.37708798221179
"Minneapolis-St. Paul, MN",17,6,2000,4.11020135879517,4.27269014971597
"Minneapolis-St. Paul, MN",17,6,2001,8.83182936802245,8.41728038617543
"Minneapolis-St. Paul, MN",17,6,2002,12.0409764657941,11.8125595433371
"Minneapolis-St. Paul, MN",17,6,2003,11.6612470108166,12.2284743819918
"Minneapolis-St. Paul, MN",17,6,2004,4.91346030486257,5.15791590894972
"Minneapolis-St. Paul, MN",17,6,2005,5.7898922133864,5.60789224760873
"Minneapolis-St. Paul, MN",17,6,2006,15.7550240232233,15.5884015492031
"Minneapolis-St. Paul, MN",17,6,2007,11.9660833425689,12.1931573731559
"Minneapolis-St. Paul, MN",17,6,2008,9.04624287287394,8.96638284581048
"Minneapolis-St. Paul, MN",17,6,2009,12.351210886972,12.4011935540608
"Minneapolis-St. Paul, MN",17,6,2010,8.64912599011471,8.61090732642582
"Minneapolis-St. Paul, MN",17,6,2011,9.56386286752266,9.86845628534044
"Minneapolis-St. Paul, MN",17,6,2012,5.81439910018653,5.78708928823471
"Minneapolis-St. Paul, MN",17,6,2013,1.36419137632638,1.5620578710522
"Minneapolis-St. Paul, MN",17,6,2014,5.94345398691663,6.12426028272935
"Minneapolis-St. Paul, MN",17,6,2015,6.61387050360964,6.61787167787552
"Minneapolis-St. Paul, MN",17,6,2016,6.12204647482487,6.13103995834078
"Minneapolis-St. Paul, MN",17,7,2000,4.47853787321793,4.32304840854236
"Minneapolis-St. Paul, MN",17,7,2001,16.0715823340834,15.3850263425282
"Minneapolis-St. Paul, MN",17,7,2002,23.0066313158002,22.7848738397871
"Minneapolis-St. Paul, MN",17,7,2003,7.17020990137468,7.50238349778312
"Minneapolis-St. Paul, MN",17,7,2004,12.0972806278028,12.490459714617
"Minneapolis-St. Paul, MN",17,7,2005,19.0207512671487,18.92055345944
"Minneapolis-St. Paul, MN",17,7,2006,13.9833884741131,14.5656857218061
"Minneapolis-St. Paul, MN",17,7,2007,13.0391759872437,13.2357687473297
"Minneapolis-St. Paul, MN",17,7,2008,7.50209725112246,7.80309148005077
"Minneapolis-St. Paul, MN",17,7,2009,5.10640749178435,4.95379897015435
"Minneapolis-St. Paul, MN",17,7,2010,11.0379804477357,10.9780106510435
"Minneapolis-St. Paul, MN",17,7,2011,21.9598862999364,22.3603851386479
"Minneapolis-St. Paul, MN",17,7,2012,11.8566046012075,11.9026455606733
"Minneapolis-St. Paul, MN",17,7,2013,6.88911535865382,7.17390736852373
"Minneapolis-St. Paul, MN",17,7,2014,7.96583176495736,7.98540331295558
"Minneapolis-St. Paul, MN",17,7,2015,9.13563993939182,8.80623825618199
"Minneapolis-St. Paul, MN",17,7,2016,2.95508210491716,2.89298330886023
"Minneapolis-St. Paul, MN",17,8,2000,5.74626678751226,5.26276704754148
"Minneapolis-St. Paul, MN",17,8,2001,7.20481272747642,7.46432547569275
"Minneapolis-St. Paul, MN",17,8,2002,3.36109082531511,3.27365716610636
"Minneapolis-St. Paul, MN",17,8,2003,14.950368354195,14.9510964393616
