"month","year","pm25","add","date"
"07","2005",12.4371476502035,"College Station-Bryan, TX",2005-07-01
"07","2005",13.0592388253133,"Charleston-North Charleston, SC",2005-07-01
"08","2005",13.1863091234288,"Myrtle Beach-Socastee, SC-NC",2005-08-01
"08","2005",16.4069519518097,"College Station-Bryan, TX",2005-08-01
"08","2005",13.7367619487688,"Charleston-North Charleston, SC",2005-08-01
"09","2005",13.2190672059724,"Myrtle Beach-Socastee, SC-NC",2005-09-01
"09","2005",17.9043583300757,"College Station-Bryan, TX",2005-09-01
"09","2005",14.4237966060347,"Charleston-North Charleston, SC",2005-09-01
"10","2005",10.5505916209463,"Myrtle Beach-Socastee, SC-NC",2005-10-01
"10","2005",16.4919567781537,"College Station-Bryan, TX",2005-10-01
"10","2005",12.1124632055427,"Charleston-North Charleston, SC",2005-10-01
"11","2005",9.4830293900383,"Myrtle Beach-Socastee, SC-NC",2005-11-01
"11","2005",11.0844302060364,"College Station-Bryan, TX",2005-11-01
"11","2005",10.3266259590882,"Charleston-North Charleston, SC",2005-11-01
"12","2005",9.28887678782855,"Myrtle Beach-Socastee, SC-NC",2005-12-01
"12","2005",11.3215374017336,"College Station-Bryan, TX",2005-12-01
"12","2005",10.5817034909642,"Charleston-North Charleston, SC",2005-12-01
"01","2006",6.78207589877094,"Myrtle Beach-Socastee, SC-NC",2006-01-01
"01","2006",9.16988613108641,"College Station-Bryan, TX",2006-01-01
"01","2006",7.10752655519786,"Charleston-North Charleston, SC",2006-01-01
"02","2006",8.95198160971235,"Myrtle Beach-Socastee, SC-NC",2006-02-01
"02","2006",11.6777974369304,"College Station-Bryan, TX",2006-02-01
"02","2006",8.98031890796711,"Charleston-North Charleston, SC",2006-02-01
"03","2006",11.321433066351,"Myrtle Beach-Socastee, SC-NC",2006-03-01
"03","2006",15.1077896743204,"College Station-Bryan, TX",2006-03-01
"03","2006",12.5720521755912,"Charleston-North Charleston, SC",2006-03-01
"04","2006",9.7386856667835,"Myrtle Beach-Socastee, SC-NC",2006-04-01
"04","2006",15.3331441270233,"College Station-Bryan, TX",2006-04-01
"04","2006",10.3864068617739,"Charleston-North Charleston, SC",2006-04-01
"05","2006",11.1286845936725,"Myrtle Beach-Socastee, SC-NC",2006-05-01
"05","2006",14.3329433551032,"College Station-Bryan, TX",2006-05-01
"05","2006",13.061236482641,"Charleston-North Charleston, SC",2006-05-01
"06","2006",11.9311599735539,"Myrtle Beach-Socastee, SC-NC",2006-06-01
"06","2006",17.8520756803745,"College Station-Bryan, TX",2006-06-01
"06","2006",12.100868374221,"Charleston-North Charleston, SC",2006-06-01
"07","2006",12.6423856239428,"Myrtle Beach-Socastee, SC-NC",2006-07-01
"07","2006",13.2407589382107,"College Station-Bryan, TX",2006-07-01
"07","2006",11.515442132569,"Charleston-North Charleston, SC",2006-07-01
"08","2006",11.8519313859378,"Myrtle Beach-Socastee, SC-NC",2006-08-01
"08","2006",14.7319441797791,"College Station-Bryan, TX",2006-08-01
"08","2006",11.1638716066972,"Charleston-North Charleston, SC",2006-08-01
"09","2006",10.4034036435179,"Myrtle Beach-Socastee, SC-NC",2006-09-01
"09","2006",15.1068562149371,"College Station-Bryan, TX",2006-09-01
"09","2006",11.2832840126612,"Charleston-North Charleston, SC",2006-09-01
"10","2006",8.87162917268067,"Myrtle Beach-Socastee, SC-NC",2006-10-01
"10","2006",12.4204662249751,"College Station-Bryan, TX",2006-10-01
"10","2006",9.4603753564429,"Charleston-North Charleston, SC",2006-10-01
"11","2006",8.49075118215931,"Myrtle Beach-Socastee, SC-NC",2006-11-01
"11","2006",12.2404285922378,"College Station-Bryan, TX",2006-11-01
"11","2006",8.9430698285233,"Charleston-North Charleston, SC",2006-11-01
"12","2006",8.32194433519041,"Myrtle Beach-Socastee, SC-NC",2006-12-01
"12","2006",11.0409177545517,"College Station-Bryan, TX",2006-12-01
"12","2006",9.21011300754148,"Charleston-North Charleston, SC",2006-12-01
"01","2007",5.69674069137774,"Myrtle Beach-Socastee, SC-NC",2007-01-01
"01","2007",8.70251905369991,"College Station-Bryan, TX",2007-01-01
"01","2007",6.22051664274173,"Charleston-North Charleston, SC",2007-01-01
"02","2007",8.09132546207943,"Myrtle Beach-Socastee, SC-NC",2007-02-01
"02","2007",12.0975541687066,"College Station-Bryan, TX",2007-02-01
"02","2007",9.40538851586289,"Charleston-North Charleston, SC",2007-02-01
"03","2007",9.59498784678804,"Myrtle Beach-Socastee, SC-NC",2007-03-01
"03","2007",10.428116943625,"College Station-Bryan, TX",2007-03-01
"03","2007",9.37663747407028,"Charleston-North Charleston, SC",2007-03-01
"04","2007",8.13675721524593,"Myrtle Beach-Socastee, SC-NC",2007-04-01
"04","2007",12.1506646269339,"College Station-Bryan, TX",2007-04-01
"04","2007",8.64554643340973,"Charleston-North Charleston, SC",2007-04-01
"05","2007",10.9103016981692,"Myrtle Beach-Socastee, SC-NC",2007-05-01
"05","2007",14.9522399651839,"College Station-Bryan, TX",2007-05-01
"05","2007",11.5200540644296,"Charleston-North Charleston, SC",2007-05-01
"06","2007",10.7065622671031,"Myrtle Beach-Socastee, SC-NC",2007-06-01
"06","2007",17.1380290899327,"College Station-Bryan, TX",2007-06-01
"06","2007",9.82758671890552,"Charleston-North Charleston, SC",2007-06-01
"07","2007",10.851026304319,"Myrtle Beach-Socastee, SC-NC",2007-07-01
"07","2007",15.1166700569227,"College Station-Bryan, TX",2007-07-01
"07","2007",10.7202067258597,"Charleston-North Charleston, SC",2007-07-01
"08","2007",16.4962746043397,"Myrtle Beach-Socastee, SC-NC",2007-08-01
"08","2007",16.2603009375315,"College Station-Bryan, TX",2007-08-01
"08","2007",16.0922521071645,"Charleston-North Charleston, SC",2007-08-01
"09","2007",9.10828504500249,"Myrtle Beach-Socastee, SC-NC",2007-09-01
"09","2007",14.3578678908676,"College Station-Bryan, TX",2007-09-01
"09","2007",7.87805674911614,"Charleston-North Charleston, SC",2007-09-01
"10","2007",6.54948549594363,"Myrtle Beach-Socastee, SC-NC",2007-10-01
"10","2007",11.7708954901922,"College Station-Bryan, TX",2007-10-01
"10","2007",6.84458408057009,"Charleston-North Charleston, SC",2007-10-01
"11","2007",9.33580595831853,"Myrtle Beach-Socastee, SC-NC",2007-11-01
"11","2007",13.4745331713005,"College Station-Bryan, TX",2007-11-01
"11","2007",10.6541928740517,"Charleston-North Charleston, SC",2007-11-01
"12","2007",7.54565321236733,"Myrtle Beach-Socastee, SC-NC",2007-12-01
"12","2007",9.9365703136446,"College Station-Bryan, TX",2007-12-01
"12","2007",8.65795854229272,"Charleston-North Charleston, SC",2007-12-01
"01","2008",7.580294787937,"Myrtle Beach-Socastee, SC-NC",2008-01-01
"01","2008",9.08091908465638,"College Station-Bryan, TX",2008-01-01
"01","2008",8.45589392810358,"Charleston-North Charleston, SC",2008-01-01
"02","2008",8.28355206487742,"Myrtle Beach-Socastee, SC-NC",2008-02-01
"02","2008",10.8866394299787,"College Station-Bryan, TX",2008-02-01
"02","2008",8.8583186605097,"Charleston-North Charleston, SC",2008-02-01
"03","2008",8.91903000395815,"Myrtle Beach-Socastee, SC-NC",2008-03-01
"03","2008",11.2731272042622,"College Station-Bryan, TX",2008-03-01
"03","2008",10.0701906323687,"Charleston-North Charleston, SC",2008-03-01
