State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
,,,,,Total,,10,14,,241.926,,319.574,,307.9,,24.5,,23.6,,672.0,,"2,481.0",
CA,City of Corona(CCTS),9052,City,Y,DR,PT,9,,,,,,,206.5,,,,14.5,,61.3,,,
CA,City of Corona(CCTS),9052,City,Y,MB,PT,5,,,,,,,167.7,,,,14.2,,153.8,,,
,,,,,Total,,14,,,,,,,374.2,,,,28.7,,215.1,,,
CA,City of Delano(DART),9238,City,Y,DR,DO,4,,,,,,,50.2,,,,10.3,,19.1,,,
CA,City of Delano(DART),9238,City,Y,MB,DO,5,,,,,,,105.7,,,,14.1,,19.7,,,
,,,,,Total,,9,,,,,,,155.9,,,,24.4,,38.8,,,
CA,City of Elk Grove(etran),9205,City,N,CB,PT,26,28,,356.851,,656.853,,355.9,,28.1,,18.5,,457.0,,"9,138.4",
CA,City of Elk Grove(etran),9205,City,N,DR,PT,9,10,,0,,175.503,,136.3,,14.2,,10.3,,16.4,,160.1,
CA,City of Elk Grove(etran),9205,City,N,MB,PT,15,22,,533.382,,704.792,,536.1,,43.4,,35.8,,461.9,,"3,694.5",
,,,,,Total,,50,60,,890.233,,1537.148,,"1,028.2",,85.8,,64.6,,935.2,,"12,993.0",
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,City,N,DR,PT,6,8,,0,,208.773,,190.0,,12.6,,11.4,,21.2,,173.1,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,City,N,MB,PT,36,48,,1598.221,,1725.304,,"1,598.1",,87.3,,81.5,,976.2,,"7,071.9",
,,,,,Total,,42,56,,1598.221,,1934.077,,"1,788.0",,99.8,,92.9,,997.5,,"7,245.0",
CA,City of Folsom(FSL),9220,City,Y,DR,DO,8,,,,,,,49.1,,,,3.7,,10.0,,,
CA,City of Folsom(FSL),9220,City,Y,MB,DO,5,,,,,,,129.3,,,,7.8,,63.2,,,
,,,,,Total,,13,,,,,,,178.4,,,,11.6,,73.2,,,
CA,City of Gardena Transportation Department(GMBL),9042,City,N,DR,DO,6,10,,0,,79.427,,70.1,,10.3,,9.0,,26.5,,90.4,
CA,City of Gardena Transportation Department(GMBL),9042,City,N,MB,DO,43,53,,1673.171,,1753.973,,"1,671.8",,122.0,,116.9,,"3,787.6",,"14,704.1",
,,,,,Total,,49,63,,1673.171,,1833.4,,"1,742.0",,132.3,,126.0,,"3,814.1",,"14,794.5",
CA,City of Irvine(COI),9231,City,Y,MB,PT,17,,,,,,,189.6,,,,22.2,,175.5,,,
CA,City of La Mirada Transit(LMT),9024,City,N,DR,PT,7,12,,0,,94.437,,85.7,,10.1,,8.9,,51.7,,158.4,
CA,City of Lincoln(COL),9235,City,Y,DR,DO,4,,,,,,,39.6,,,,3.8,,6.8,,,
CA,City of Lincoln(COL),9235,City,Y,MB,DO,4,,,,,,,57.1,,,,5.6,,57.3,,,
,,,,,Total,,8,,,,,,,96.7,,,,9.3,,64.1,,,
CA,City of Lodi - Transit Division(Grapeline),9175,City,N,DR,PT,10,16,,0,,125.655,,115.5,,14.2,,13.7,,35.3,,82.8,
CA,City of Lodi - Transit Division(Grapeline),9175,City,N,MB,PT,9,10,,208.325,,211.259,,208.3,,18.3,,18.1,,178.2,,548.3,
,,,,,Total,,19,26,,208.325,,336.914,,323.8,,32.4,,31.8,,213.5,,631.2,
CA,City of Lompoc - Lompoc Transit(COLT),9149,City,Y,DR,PT,2,,,,,,,48.8,,,,5.4,,15.1,,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,City,Y,MB,PT,10,,,,,,,287.6,,,,18.3,,122.7,,,
,,,,,Total,,12,,,,,,,336.4,,,,23.7,,137.7,,,
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,CB,PT,83,98,,1755.573,,3251.593,,"1,752.1",,143.1,,80.9,,"1,843.4",,"30,778.5",
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,DR,PT,99,110,,0,,1338.776,,"1,117.9",,154.3,,123.8,,216.6,,"1,143.2",
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,DT,PT,9,9,,0,,239.286,,239.3,,16.8,,16.8,,130.7,,298.0,
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,MB,PT,169,233,,4950.701,,5530.16,,"4,936.1",,594.7,,556.2,,"22,075.4",,"35,693.3",
,,,,,Total,,360,450,,6706.274,,10359.815,,"8,045.4",,908.9,,777.8,,"24,266.0",,"67,913.0",
CA,City of Madera(MAX/DAR),9199,City,Y,DR,PT,6,,,,,,,173.4,,,,11.1,,35.7,,,
CA,City of Madera(MAX/DAR),9199,City,Y,MB,PT,5,,,,,,,167.6,,,,12.6,,144.4,,,
,,,,,Total,,11,,,,,,,341.1,,,,23.6,,180.1,,,
CA,City of Manteca,9217,City,Y,DR,PT,2,,,,,,,43.7,,,,4.1,,14.4,,,
CA,City of Manteca,9217,City,Y,MB,PT,3,,,,,,,130.7,,,,10.0,,44.1,,,
,,,,,Total,,5,,,,,,,174.4,,,,14.2,,58.5,,,
CA,City of Moorpark(MCT),9227,City,Y,DR,PT,2,,,,,,,34.2,,,,2.1,,2.6,,,
CA,City of Moorpark(MCT),9227,City,Y,MB,PT,2,,,,,,,96.0,,,,5.7,,66.5,,,
,,,,,Total,,4,,,,,,,130.2,,,,7.8,,69.1,,,
CA,City of Petaluma(Petaluma Transit),9213,City,N,DR,PT,5,6,,0,,68.196,,62.2,,10.2,,8.2,,21.8,,69.7,
CA,City of Petaluma(Petaluma Transit),9213,City,N,MB,PT,7,8,,194.57,,197.679,,194.3,,14.7,,14.1,,283.3,,858.4,
,,,,,Total,,12,14,,194.57,,265.875,,256.4,,24.9,,22.3,,305.1,,928.1,
CA,City of Porterville(C.O.L.T.),9198,City,Y,DR,PT,3,,,,,,,59.8,,,,3.6,,13.2,,,
CA,City of Porterville(C.O.L.T.),9198,City,Y,MB,PT,7,,,,,,,304.5,,,,24.6,,492.7,,,
,,,,,Total,,10,,,,,,,364.3,,,,28.2,,505.9,,,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,City,N,DR,PT,4,6,,0,,77.571,,71.7,,8.1,,6.8,,15.9,,56.2,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,City,N,MB,PT,10,14,,394.196,,426.222,,404.0,,36.0,,32.8,,387.2,,"1,703.5",
,,,,,Total,,14,20,,394.196,,503.793,,475.8,,44.1,,39.6,,403.0,,"1,759.8",
CA,City of Riverside Special Transportation(City of Riverside),9086,City,N,DR,DO,25,31,,0,,760.457,,680.5,,51.7,,46.9,,174.1,,"1,009.4",
CA,City of San Luis Obispo(SLO Transit),9156,City,N,MB,PT,10,16,,394.892,,418.392,,393.9,,35.0,,33.0,,"1,118.5",,"3,229.6",
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,DR,PT,11,13,,0,,291.421,,276.3,,20.3,,19.7,,49.5,,213.1,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,MB,DO,25,41,,1107.058,,1146.433,,"1,109.5",,94.7,,91.4,,"3,032.1",,"8,368.6",
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,MB,PT,1,1,,24.684,,28.402,,22.2,,2.2,,1.9,,5.8,,25.1,
,,,,,Total,,37,55,,1131.742,,1466.256,,"1,408.0",,117.3,,112.9,,"3,087.3",,"8,606.8",
CA,City of Tracy(TRACER),9197,City,Y,DR,PT,3,,,,,,,77.7,,,,7.3,,17.9,,,
CA,City of Tracy(TRACER),9197,City,Y,MB,PT,5,,,,,,,149.0,,,,12.9,,91.7,,,
,,,,,Total,,8,,,,,,,226.8,,,,20.2,,109.6,,,
CA,City of Turlock(BLAST and DART),9201,City,N,DR,PT,4,8,,0,,38.575,,35.2,,2.9,,2.7,,11.9,,82.2,
CA,City of Turlock(BLAST and DART),9201,City,N,MB,PT,4,8,,167.236,,169.47,,163.8,,11.7,,11.5,,100.9,,352.9,
,,,,,Total,,8,16,,167.236,,208.045,,199.0,,14.6,,14.2,,112.8,,435.1,
CA,City of Union City Transit Division(UCT),9161,City,Y,DR,PT,7,,,,,,,82.8,,,,10.5,,20.8,,,
CA,City of Union City Transit Division(UCT),9161,City,Y,MB,PT,17,,,,,,,467.8,,,,39.3,,500.5,,,
,,,,,Total,,24,,,,,,,550.6,,,,49.8,,521.4,,,
CA,City of Vacaville(City Coach),9155,City,Y,DR,PT,6,,,,,,,61.7,,,,5.3,,13.7,,,
CA,City of Vacaville(City Coach),9155,City,Y,MB,PT,15,,,,,,,525.9,,,,33.8,,446.1,,,
,,,,,Total,,21,,,,,,,587.6,,,,39.1,,459.8,,,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,N,FB,PT,3,4,,187.469,,186.227,,182.7,,7.6,,6.9,,668.8,,"18,993.1",
