State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,269,,332,,"8,120.5 ",,"10,645.8 ",,"8,882.5 ",,542.3 ,,475.4 ,,"11,597.4 ",,"153,309.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Intelitran-SF,9170-F,DRp,175,,175,,0.0 ,,"6,350.3 ",,"5,233.1 ",,434.7 ,,374.5 ,,675.1 ,,"5,188.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,La Mirada Transit,9024-A,DR,8,,12,,0.0 ,,185.8 ,,168.8 ,,11.7 ,,11.1 ,,81.7 ,,298.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Laidlaw Transit Services,9178-D,MB,115,,134,,"8,047.9 ",,"8,038.6 ",,"6,084.6 ",,416.6 ,,366.6 ,,"7,200.0 ",,"50,320.6 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Livermore/Amador Valley,9144-B,DRp,8,,12,,0.0 ,,258.4 ,,234.9 ,,17.3 ,,16.1 ,,36.0 ,,324.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,50,,65,,"1,778.4 ",,"2,066.2 ",,"1,778.4 ",,122.8 ,,112.9 ,,"1,835.8 ",,"8,094.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,58,,77,,"1,778.4 ",,"2,324.6 ",,"2,013.4 ",,140.1 ,,128.9 ,,"1,871.7 ",,"8,418.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Lompoc Transit,9149-B,DRp,7,,9,,0.0 ,,241.2 ,,222.6 ,,20.1 ,,16.7 ,,142.9 ,,569.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,4,,4,,114.9 ,,118.4 ,,114.9 ,,2.5 ,,2.3 ,,43.6 ,,"4,316.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,11,,13,,114.9 ,,359.6 ,,337.5 ,,22.6 ,,19.0 ,,186.5 ,,"4,885.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Long Beach Publ Transp,9023-B,DRp,22,,22,,0.0 ,,394.0 ,,345.7 ,,23.9 ,,22.3 ,,80.2 ,,379.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FBp,2,,2,,3.2 ,,3.2 ,,3.2 ,,3.6 ,,3.6 ,,41.7 ,,10.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,155,,202,,"6,973.5 ",,"7,588.8 ",,"7,033.4 ",,667.9 ,,639.7 ,,"26,255.5 ",,"68,750.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,179,,226,,"6,976.6 ",,"7,986.0 ",,"7,382.3 ",,695.3 ,,665.6 ,,"26,377.4 ",,"69,139.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
