State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
,,,,Total,,58,76.0,,"2,017.7",,"2,316.5",,"2,205.4",,121.5,,115.4,,"2,448.5",,"29,743.5",,
CA,City of Visalia - Visalia City Coach(VCC),9091,B,DR,PT,7,9.0,,0.0,,191.4,Q,172.9,Q,13.0,Q,10.9,Q,33.9,,255.1,,
CA,City of Visalia - Visalia City Coach(VCC),9091,B,MB,PT,28,35.0,,"1,158.8",,"1,220.6",,"1,158.8",,96.9,,91.7,,"1,485.8",,"6,049.2",,
,,,,Total,,35,44.0,,"1,158.8",,"1,412.0",,"1,331.7",,109.8,,102.6,,"1,519.8",,"6,304.3",,
CA,County of Sacramento Municipal Services Agency Department of Transportation(SacDOT),9216,B,DR,PT,7,8.0,,0.0,,102.4,,99.1,,8.7,,8.4,,27.5,,0.0,W,
CA,County of Sacramento Municipal Services Agency Department of Transportation(SacDOT),9216,B,MB,PT,7,8.0,,403.8,,407.7,Q,403.7,Q,20.0,Q,18.1,Q,73.0,,0.0,W,
,,,,Total,,14,16.0,,403.8,,510.2,,502.8,,28.8,,26.5,,100.5,,0.0,W,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,A,MB,DO,33,46.0,,"1,447.7",,"1,552.3",,"1,444.3",,144.4,,135.5,,"6,055.2",,"19,338.2",,
CA,Foothill Transit,9146,B,MB,PT,256,314.0,,"12,450.0",,"14,564.1",,"11,575.2",,906.0,,767.9,,"14,561.6",,"113,972.7",,
CA,Fresno Area Express(FAX),9027,B,DR,PT,55,57.0,,0.0,,"1,548.0",,"1,172.6",,142.1,,110.8,,222.4,,"1,498.5",,
CA,Fresno Area Express(FAX),9027,B,MB,DO,106,120.0,,"4,667.9",,"5,028.4",,"4,661.3",,412.7,,399.1,,"16,925.8",,"35,951.0",,
,,,,Total,,161,177.0,,"4,667.9",,"6,576.4",,"5,833.9",,554.8,,510.0,,"17,148.3",,"37,449.5",,
CA,Gold Coast Transit(GCT),9035,B,DR,PT,19,21.0,,0.0,,641.9,,525.4,,44.9,,35.6,,79.7,,565.7,,
CA,Gold Coast Transit(GCT),9035,B,MB,DO,39,49.0,,"1,610.7",,"1,776.6",,"1,586.6",,146.6,,140.1,,"3,495.9",,"9,448.9",,
,,,,Total,,58,70.0,,"1,610.7",,"2,418.5",,"2,111.9",,191.5,,175.7,,"3,575.6",,"10,014.6",,
CA,Golden Empire Transit District(GET),9004,A,DR,DO,16,18.0,,0.0,,504.6,,442.5,,31.3,,28.5,,60.8,,506.8,,
CA,Golden Empire Transit District(GET),9004,A,MB,DO,68,81.0,,"3,448.9",,"3,667.5",,"3,437.8",,285.4,,276.9,,"6,968.6",,"24,815.1",,
,,,,Total,,84,99.0,,"3,448.9",,"4,172.0",,"3,880.3",,316.7,,305.4,,"7,029.4",,"25,321.9",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,DR,PT,40,47.0,,0.0,,"1,173.0",,998.1,,67.7,,56.5,,107.9,,"1,131.2",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,FB,DO,5,5.0,,188.8,,196.7,,187.9,,14.7,,14.1,,"1,979.8",,"22,035.8",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,MB,PT,6,49.0,,65.1,,136.4,,65.5,,4.9,,3.4,,48.0,,"1,003.2",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,MB,DO,164,200.0,,"5,295.4",,"6,139.8",,"5,284.3",,378.9,,341.3,,"7,373.4",,"61,347.9",,
,,,,Total,,215,301.0,,"5,549.4",,"7,645.9",,"6,535.9",,466.3,,415.2,,"9,509.1",,"85,518.1",,
CA,Imperial Valley Transit(IVT),9212,B,DR,PT,5,6.0,,0.0,,266.3,,180.2,,19.1,,12.0,,36.4,,0.0,W,
CA,Imperial Valley Transit(IVT),9212,B,MB,PT,14,19.0,,658.5,,774.8,,651.1,,36.5,,32.4,,478.1,,0.0,W,
,,,,Total,,19,25.0,,658.5,,"1,041.1",,831.2,,55.5,,44.3,,514.5,,0.0,W,
CA,Kings County Area Public Transit Agency(KART),9200,B,DR,PT,8,12.0,,0.0,,176.9,,147.1,Q,16.2,,14.6,,43.3,,155.8,Q,
CA,Kings County Area Public Transit Agency(KART),9200,B,MB,PT,16,21.0,,763.0,,846.8,,767.3,,61.8,,57.9,,794.0,,"3,334.8",,
CA,Kings County Area Public Transit Agency(KART),9200,B,VP,DO,172,195.0,,0.0,,"4,097.8",,"4,097.8",,76.8,,76.8,,544.2,,"22,456.8",,
,,,,Total,,196,228.0,,763.0,,"5,121.6",,"5,012.2",,154.8,,149.2,,"1,381.5",,"25,947.5",,
CA,LACMTA - Small Operators(LACMTA),9166,B,DR,PT,240,275.0,,0.0,,"4,438.4",,"3,905.4",,405.4,,353.1,,"1,245.4",,"4,545.8",,
CA,LACMTA - Small Operators(LACMTA),9166,B,MB,PT,186,222.0,,"5,353.1",,"5,806.5",,"5,294.2",,517.0,,480.7,,"10,421.1",,"26,972.9",,
,,,,Total,,426,497.0,,"5,353.1",,"10,245.0",,"9,199.6",,922.4,,833.8,,"11,666.5",,"31,518.7",,
CA,Laguna Beach Municipal Transit(CLB),9119,A,MB,DO,17,19.0,,183.4,,189.7,,183.0,,20.8,,18.7,,477.8,,711.0,,
CA,Livermore / Amador Valley Transit Authority(LAVTA),9144,B,DR,PT,18,24.0,,0.0,,462.8,,379.5,,44.1,,36.4,,66.7,,456.1,,
CA,Livermore / Amador Valley Transit Authority(LAVTA),9144,B,MB,PT,47,64.0,,"1,983.8",,"2,232.2",,"1,983.8",,148.6,,137.5,,"2,234.2",,"10,605.3",,
,,,,Total,,65,88.0,,"1,983.8",,"2,695.0",,"2,363.3",,192.7,,173.9,,"2,300.9",,"11,061.4",,
